Round 54: test_acc=0.050066365274, bytes=76.39488000 MB, time=2949.07974680s, delta_acc/byte=7.645847996213e-11, delta_acc/sec=0.000001980630,acc/byte=6.553628367983e-10, acc/sec=0.000016976945, 
Round 55: test_acc=0.043828319013, bytes=77.80960000 MB, time=3016.92835130s, delta_acc/byte=-8.017065067229e-11, delta_acc/sec=-0.000002067681,acc/byte=5.632764981843e-10, acc/sec=0.000014527464, 
Round 56: test_acc=0.034369995771, bytes=79.22432000 MB, time=3043.48978280s, delta_acc/byte=-1.193866131277e-10, delta_acc/sec=-0.000003107723,acc/byte=4.338313761605e-10, acc/sec=0.000011292956, 
Round 57: test_acc=0.033277529310, bytes=80.63904000 MB, time=3096.66079470s, delta_acc/byte=-1.354761242868e-11, delta_acc/sec=-0.000000352789,acc/byte=4.126726869570e-10, acc/sec=0.000010746262, 
Round 58: test_acc=0.029841859546, bytes=82.05376000 MB, time=3128.75917800s, delta_acc/byte=-4.187096075642e-11, delta_acc/sec=-0.000001098093,acc/byte=3.636866798738e-10, acc/sec=0.000009537922, 
Round 59: test_acc=0.050995324459, bytes=83.46848000 MB, time=3194.95356770s, delta_acc/byte=2.534305753905e-10, delta_acc/sec=0.000006620899,acc/byte=6.109530742494e-10, acc/sec=0.000015961210, 
Round 60: test_acc=0.039252216676, bytes=84.88320000 MB, time=3252.71401060s, delta_acc/byte=-1.383443105665e-10, delta_acc/sec=-0.000003610249,acc/byte=4.624262124455e-10, acc/sec=0.000012067528, 
Round 61: test_acc=0.015348857781, bytes=86.29792000 MB, time=3287.10577360s, delta_acc/byte=-2.769865008952e-10, delta_acc/sec=-0.000007271856,acc/byte=1.778589539692e-10, acc/sec=0.000004669414, 
Round 62: test_acc=0.041716611544, bytes=87.71264000 MB, time=3323.67446090s, delta_acc/byte=3.006152107923e-10, delta_acc/sec=0.000007933314,acc/byte=4.756054719556e-10, acc/sec=0.000012551353, 
Round 63: test_acc=0.049550585570, bytes=89.12736000 MB, time=3392.53744200s, delta_acc/byte=8.789639933398e-11, delta_acc/sec=0.000002309178,acc/byte=5.559525780839e-10, acc/sec=0.000014605759, 
Round 64: test_acc=0.022444646042, bytes=90.54208000 MB, time=3442.20991350s, delta_acc/byte=-2.993739433419e-10, delta_acc/sec=-0.000007874575,acc/byte=2.478918757095e-10, acc/sec=0.000006520418, 
Round 65: test_acc=0.030189354634, bytes=91.95680000 MB, time=3462.49119280s, delta_acc/byte=8.422116245968e-11, delta_acc/sec=0.000002236745,acc/byte=3.282993170044e-10, acc/sec=0.000008718969, 
Round 66: test_acc=0.040983141297, bytes=93.37152000 MB, time=3518.49292480s, delta_acc/byte=1.156004171675e-10, delta_acc/sec=0.000003067730,acc/byte=4.389255020961e-10, acc/sec=0.000011647925, 
Round 67: test_acc=0.041342819594, bytes=94.78624000 MB, time=3567.59475090s, delta_acc/byte=3.794625637353e-12, delta_acc/sec=0.000000100818,acc/byte=4.361690008365e-10, acc/sec=0.000011588429, 
Round 68: test_acc=0.028870138936, bytes=96.20096000 MB, time=3595.33810020s, delta_acc/byte=-1.296523512666e-10, delta_acc/sec=-0.000003469126,acc/byte=3.001023995576e-10, acc/sec=0.000008029882, 
Round 69: test_acc=0.028105012206, bytes=97.61568000 MB, time=3666.57991700s, delta_acc/byte=-7.838153966495e-12, delta_acc/sec=-0.000000208676,acc/byte=2.879149354526e-10, acc/sec=0.000007665185, 
Round 70: test_acc=0.031188422740, bytes=99.03040000 MB, time=3760.52380600s, delta_acc/byte=3.113599998733e-11, delta_acc/sec=0.000000819942,acc/byte=3.149378649335e-10, acc/sec=0.000008293638, 
Round 71: test_acc=0.041893134965, bytes=100.44512000 MB, time=3860.02496770s, delta_acc/byte=1.065727456458e-10, delta_acc/sec=0.000002773224,acc/byte=4.170748660027e-10, acc/sec=0.000010853074, 
Round 72: test_acc=0.033437778000, bytes=101.85984000 MB, time=3891.60938500s, delta_acc/byte=-8.300972164144e-11, delta_acc/sec=-0.000002172715,acc/byte=3.282724378890e-10, acc/sec=0.000008592275, 
Round 73: test_acc=0.039789645206, bytes=103.27456000 MB, time=3946.34305480s, delta_acc/byte=6.150466490871e-11, delta_acc/sec=0.000001609558,acc/byte=3.852802200870e-10, acc/sec=0.000010082663, 
Round 74: test_acc=0.041254524337, bytes=104.68928000 MB, time=4002.15138710s, delta_acc/byte=1.399263736406e-11, delta_acc/sec=0.000000366023,acc/byte=3.940663679904e-10, acc/sec=0.000010308087, 
Round 75: test_acc=0.028722481905, bytes=106.10400000 MB, time=4026.91449340s, delta_acc/byte=-1.181109329769e-10, delta_acc/sec=-0.000003112071,acc/byte=2.707012167737e-10, acc/sec=0.000007132628, 
Round 76: test_acc=0.040484649045, bytes=107.51872000 MB, time=4062.86481540s, delta_acc/byte=1.093964580386e-10, delta_acc/sec=0.000002895043,acc/byte=3.765358166968e-10, acc/sec=0.000009964557, 
